n,lie_subspace_dim,lie_params,full_hilbert_dim,full_params,full_grad_params,mean_lie,max_lie,min_lie,mean_full,max_full,min_full,ratio_mean,ratio_max,ratio_min,section_vii_heuristic_ratio,elapsed_lie_sec,elapsed_full_sec
3,4,6,8,48,48,0.589033065728329,1.2259868453250524,0.0837086437275796,0.050440607256190116,0.08116168048471374,0.006182516732556648,11.677755240665592,15.105488674004954,13.539574148950775,2.0,1.0262826000107452,24.176705000019865
4,5,6,16,64,64,0.7125657344859748,1.6069326619223414,0.08360219760036082,0.024784049081851143,0.0371012229322819,0.005734129350197465,28.7509814127899,43.31212113561205,14.579754395927925,3.2,1.0364716000040062,44.58513810002478
5,6,6,32,80,80,0.5114318139873242,1.2124314643604308,0.057238100838935234,0.006753602906935221,0.010604068393759915,0.0011686256347350024,75.72725566410469,114.33644327246135,48.9789879133659,5.333333333333333,1.1489136000163853,71.26613410000573
6,7,6,64,96,96,0.6792322636139531,1.631141787580833,0.0770215314974267,0.005770420076981429,0.008949803930781687,0.0009899113348659405,117.7093269731702,182.25447173995988,77.80649517247663,9.142857142857142,1.236203000007663,106.22045589998015
8,9,6,256,128,128,0.607698621955205,1.4662247585977861,0.07016986688226154,0.0023038156237489135,0.004096775371438234,0.00021030620615453206,263.77919122117925,357.8972791185879,333.6557116659745,28.444444444444443,1.491713900002651,206.843246000004
10,11,6,1024,160,160,0.9236723730943779,2.275242324836411,0.08541054857765956,0.0018248120462325788,0.0036057607209320232,0.00012314336614088924,506.1739783016823,631.0020272915676,693.5862747160957,93.0909090909091,1.7268209000176284,385.8478961000219
12,13,6,4096,192,192,1.1508798568459362,2.932000410789643,0.10215593804141439,0.0013907774876657742,0.003129013401008874,0.00038274751460648873,827.5082585479057,937.0367061529015,266.9016365695887,315.0769230769231,1.887991299998248,828.6280880999984
