n,seed,dim_full,mean_full,max_full,min_full,elapsed_time
1,82,3,0.28745179443633845,0.4136843930515825,0.13540138245083694,0.15482470000279136
1,15,3,0.01807176770213206,0.02834066008064626,0.00033946160370560454,0.16401790000963956
1,4,3,1.4855820246358549,2.4240745897765534,0.020702681815645513,0.1604566000023624
1,95,3,0.03794434934094344,0.05320184437512338,0.014003275159021977,0.13143889998900704
1,36,3,0.897895606635435,1.1615013647214159,0.46310966839800405,0.13336569999228232
1,32,3,0.39894825699692565,0.6516597146200558,0.12480211488413216,0.14443149999715388
1,29,3,1.0066491229287047,1.3844986872879044,0.45493620043647176,0.14933689999452326
1,18,3,0.33884927635758594,0.4716543122309996,0.10884391453016913,0.14846949999628123
1,95,3,0.03794434934094344,0.05320184437512338,0.014003275159021977,0.14456879999488592
1,14,3,0.8753006947394016,1.0606828344645514,0.5727130418210253,0.14073970000026748
1,87,3,1.7633332806146083,2.4379233922880967,1.014191035841631,0.132562600003439
1,95,3,0.03794434934094344,0.05320184437512338,0.014003275159021977,0.14756489999126643
1,70,3,2.264085838534284,2.6944923798077864,1.9968792448876176,0.14309879999200348
1,12,3,0.27897558108079856,0.3242595035878079,0.19708520870726462,0.13707880000583827
1,76,3,0.23636693248354212,0.30022585404536495,0.1832550735893164,0.13599080000130925
1,55,3,1.0294156991144021,1.4274499092856623,0.5672137522028746,0.30592640000395477
1,5,3,1.1382310821415187,1.4069460572783037,0.8176104068620093,0.3035974000085844
1,4,3,1.4855820246358549,2.4240745897765534,0.020702681815645513,0.28430719999596477
1,12,3,0.27897558108079856,0.3242595035878079,0.19708520870726462,0.12471380000351928
1,28,3,0.1382969808285184,0.1939989723948529,0.053182326255305064,0.12736220000078902
1,30,3,0.08621018329918706,0.11755232730941605,0.05038186181806469,0.11889939999673516
1,65,3,0.29627775917737936,0.4181280757798628,0.09838784647710537,0.11653709999518469
1,78,3,0.02096842506319857,0.029322128577861938,0.01419506308295998,0.1239454000024125
1,4,3,1.4855820246358549,2.4240745897765534,0.020702681815645513,0.11419449999812059
1,72,3,0.37228595883814175,0.5375254263763958,0.1602473800986425,0.11252110000350513
1,26,3,2.1213899161829537,3.3995185285625524,1.1339258535051153,0.11790779999864753
1,92,3,1.161424584982949,1.5910238118023876,0.5474450939051494,0.1176975999987917
1,84,3,0.5968458914629527,0.7776556476478788,0.35173205354948195,0.11983029999828432
1,90,3,0.20127262981570015,0.280615256163416,0.04951629489234054,0.12247420000494458
1,70,3,2.264085838534284,2.6944923798077864,1.9968792448876176,0.12215480000304524
1,54,3,0.0723233294569393,0.07811267896996309,0.06679946337708018,0.11549969999759924
1,29,3,1.0066491229287047,1.3844986872879044,0.45493620043647176,0.11496380000608042
1,58,3,2.5990210815317605,3.4302379157124507,1.6617150167559958,0.11805319999984931
1,76,3,0.23636693248354212,0.30022585404536495,0.1832550735893164,0.1162283000012394
1,36,3,0.897895606635435,1.1615013647214159,0.46310966839800405,0.12586190000001807
1,1,3,0.4872585846149346,0.6718923590055724,0.1778030612610396,0.12104919999546837
1,98,3,0.480992353210024,0.596066547291131,0.42085639058215796,0.12497889999940526
1,21,3,0.3083072518028011,0.4629687812670617,0.19822806097118445,0.12293030000000726
1,90,3,0.20127262981570015,0.280615256163416,0.04951629489234054,0.1201293999911286
1,55,3,1.0294156991144021,1.4274499092856623,0.5672137522028746,0.11775809999380726
1,44,3,0.12731744340481496,0.19362230055664717,0.012252978536005035,0.11714719999872614
1,36,3,0.897895606635435,1.1615013647214159,0.46310966839800405,0.11625530000310391
1,20,3,0.14281242056436086,0.2301042987035383,0.0684545827718492,0.11991690000286326
1,28,3,0.1382969808285184,0.1939989723948529,0.053182326255305064,0.11836599999514874
1,98,3,0.480992353210024,0.596066547291131,0.42085639058215796,0.12088149999908637
1,44,3,0.12731744340481496,0.19362230055664717,0.012252978536005035,0.12382409999554511
1,14,3,0.8753006947394016,1.0606828344645514,0.5727130418210253,0.11834669999370817
1,12,3,0.27897558108079856,0.3242595035878079,0.19708520870726462,0.12065779999829829
1,49,3,1.8332872486991165,2.261565497880653,1.5832743316698972,0.11704520000785124
1,13,3,0.30555022881372523,0.42180079381303437,0.17553384159778854,0.11935160000575706
1,46,3,0.5563605100040497,0.8563335658952792,0.308896316365072,0.11943729998893104
1,45,3,1.3465081166123578,1.8711378576821267,0.698417245110161,0.11907359999895561
1,78,3,0.02096842506319857,0.029322128577861938,0.01419506308295998,0.11884599999757484
1,34,3,0.3085595104726874,0.4262597094974171,0.19633320543876148,0.12306410000019241
1,6,3,0.5397060426346485,0.7989969974673381,0.023769165011370944,0.12296110000170302
1,94,3,1.0162999577880292,1.404541649367608,0.5762518173926595,0.12215280000236817
1,59,3,0.003138909506283972,0.004846608262881423,6.405160376979076e-05,0.12159699999028817
1,69,3,1.7523715253699976,2.5252541828505497,0.44253291267642125,0.12013179999485146
1,16,3,0.4571201781736596,0.6156530576934899,0.21192854793303292,0.12313409999478608
1,49,3,1.8332872486991165,2.261565497880653,1.5832743316698972,0.12121090000437107
1,11,3,0.03790377817845369,0.057581980769693425,0.0004942683050118869,0.11979799999971874
1,71,3,0.2937975974616763,0.3406382021152282,0.2691517557305684,0.12052159999439027
1,38,3,0.692929143870962,1.0408918395390576,0.22139370644581427,0.12764720000268426
1,81,3,0.621841890579343,0.8594876205960437,0.3258001447821816,0.12062979998881929
1,80,3,0.4382009740163096,0.7409156844834799,0.18325272725230385,0.12229860000661574
1,47,3,1.871332083292991,2.276105672075048,1.3559153071582222,0.11698920000344515
1,74,3,0.4198645827424863,0.6107644236042334,0.04657225861827587,0.11812230000214186
1,25,3,0.7790563611186117,1.0048081858970976,0.5622716680479637,0.11931129998993129
1,91,3,0.22660867809667803,0.2792876709604813,0.1943235468759185,0.1196495999902254
1,9,3,3.075652669935652,4.052095532135613,2.448522534994958,0.11781650000193622
1,6,3,0.5397060426346485,0.7989969974673381,0.023769165011370944,0.1224099999963073
1,85,3,0.019292301405937143,0.028465360741501328,0.014305615060021894,0.12266800001088995
1,30,3,0.08621018329918706,0.11755232730941605,0.05038186181806469,0.12225129999569617
1,99,3,0.6450116294675995,0.9038886794292498,0.12970899459201243,0.11971030000131577
1,38,3,0.692929143870962,1.0408918395390576,0.22139370644581427,0.11945270000433084
1,11,3,0.03790377817845369,0.057581980769693425,0.0004942683050118869,0.11874580000585411
1,30,3,0.08621018329918706,0.11755232730941605,0.05038186181806469,0.1189827000052901
1,13,3,0.30555022881372523,0.42180079381303437,0.17553384159778854,0.11990550000336953
1,49,3,1.8332872486991165,2.261565497880653,1.5832743316698972,0.12093740000273101
1,36,3,0.897895606635435,1.1615013647214159,0.46310966839800405,0.1232680000102846
1,59,3,0.003138909506283972,0.004846608262881423,6.405160376979076e-05,0.11895879999792669
1,82,3,0.28745179443633845,0.4136843930515825,0.13540138245083694,0.11816650000400841
1,47,3,1.871332083292991,2.276105672075048,1.3559153071582222,0.12132330000167713
1,21,3,0.3083072518028011,0.4629687812670617,0.19822806097118445,0.11819489998742938
1,48,3,0.8263067294979877,1.2581180379126975,0.014637298706469517,0.1216705999977421
1,46,3,0.5563605100040497,0.8563335658952792,0.308896316365072,0.12078029999975115
